"AREA_NAME","value","year"
"Eglinton East",11,2020
"Eglinton East",2,2021
"Eglinton East",7,2022
"Eglinton East",16,2023
"West Hill",16,2014
"West Hill",16,2015
"West Hill",25,2016
"West Hill",13,2017
"West Hill",7,2018
"West Hill",12,2019
"West Hill",11,2020
"West Hill",18,2021
"West Hill",17,2022
"West Hill",15,2023
"Morningside",5,2014
"Morningside",3,2015
"Morningside",3,2016
"Morningside",0,2017
"Morningside",1,2018
"Morningside",1,2019
"Morningside",0,2020
"Morningside",0,2021
"Morningside",1,2022
"Morningside",2,2023
"Highland Creek",14,2014
"Highland Creek",11,2015
"Highland Creek",15,2016
"Highland Creek",2,2017
"Highland Creek",0,2018
"Highland Creek",3,2019
"Highland Creek",0,2020
"Highland Creek",0,2021
"Highland Creek",3,2022
"Highland Creek",3,2023
"Centennial Scarborough",1,2014
"Centennial Scarborough",2,2015
"Centennial Scarborough",6,2016
"Centennial Scarborough",4,2017
"Centennial Scarborough",6,2018
"Centennial Scarborough",3,2019
"Centennial Scarborough",3,2020
"Centennial Scarborough",0,2021
"Centennial Scarborough",0,2022
"Centennial Scarborough",NA,2023
"Milliken",2,2014
"Milliken",2,2015
"Milliken",0,2016
"Milliken",3,2017
"Milliken",4,2018
"Milliken",3,2019
"Milliken",1,2020
"Milliken",8,2021
"Milliken",1,2022
"Milliken",3,2023
"Agincourt North",4,2014
"Agincourt North",7,2015
"Agincourt North",2,2016
"Agincourt North",0,2017
"Agincourt North",1,2018
"Agincourt North",1,2019
"Agincourt North",1,2020
"Agincourt North",2,2021
"Agincourt North",0,2022
"Agincourt North",4,2023
"Agincourt South-Malvern West",1,2014
"Agincourt South-Malvern West",5,2015
"Agincourt South-Malvern West",3,2016
"Agincourt South-Malvern West",7,2017
"Agincourt South-Malvern West",6,2018
"Agincourt South-Malvern West",3,2019
"Agincourt South-Malvern West",5,2020
"Agincourt South-Malvern West",10,2021
"Agincourt South-Malvern West",6,2022
"Agincourt South-Malvern West",12,2023
"Dorset Park",5,2014
"Dorset Park",4,2015
"Dorset Park",3,2016
"Dorset Park",4,2017
"Dorset Park",2,2018
"Dorset Park",1,2019
"Dorset Park",3,2020
"Dorset Park",8,2021
"Dorset Park",15,2022
"Dorset Park",15,2023
"Ionview",0,2014
"Ionview",3,2015
"Ionview",0,2016
"Ionview",2,2017
"Ionview",3,2018
"Ionview",4,2019
"Ionview",4,2020
"Ionview",1,2021
"Ionview",3,2022
"Ionview",5,2023
"Kennedy Park",1,2014
"Kennedy Park",6,2015
"Kennedy Park",5,2016
"Kennedy Park",10,2017
"Kennedy Park",12,2018
"Kennedy Park",3,2019
"Kennedy Park",4,2020
"Kennedy Park",9,2021
"Kennedy Park",8,2022
"Kennedy Park",8,2023
"Cliffcrest",6,2014
"Cliffcrest",2,2015
"Cliffcrest",7,2016
"Cliffcrest",9,2017
"Cliffcrest",1,2018
"Cliffcrest",4,2019
"Cliffcrest",5,2020
"Cliffcrest",2,2021
"Cliffcrest",3,2022
"Cliffcrest",3,2023
"Birchcliffe-Cliffside",10,2014
"Birchcliffe-Cliffside",18,2015
"Birchcliffe-Cliffside",22,2016
"Birchcliffe-Cliffside",17,2017
"Birchcliffe-Cliffside",8,2018
"Birchcliffe-Cliffside",5,2019
"Birchcliffe-Cliffside",14,2020
"Birchcliffe-Cliffside",11,2021
"Birchcliffe-Cliffside",6,2022
"Birchcliffe-Cliffside",6,2023
"Downtown Yonge East",158,2014
"Downtown Yonge East",129,2015
"Downtown Yonge East",117,2016
"Downtown Yonge East",161,2017
"Downtown Yonge East",188,2018
"Downtown Yonge East",172,2019
"Downtown Yonge East",102,2020
"Downtown Yonge East",165,2021
"Downtown Yonge East",177,2022
"Downtown Yonge East",205,2023
"Church-Wellesley",89,2014
"Church-Wellesley",105,2015
"Church-Wellesley",97,2016
"Church-Wellesley",129,2017
"Church-Wellesley",92,2018
"Church-Wellesley",120,2019
